                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.31864,                0.34463,                0.98945,                0.84374,                0.80769,                0.82281,                 0.5268,                 1.3858,                0.98375,                 2.1268,             0.00023039,             0.00023039,             0.00023039
                     80,                0.32198,                0.35126,                0.99403,                0.87692,                0.75359,                0.83259,                0.52887,                 1.3825,                0.99222,                 2.1772,             0.00022039,             0.00022039,             0.00022039
                     81,                 0.3108,                0.31963,                0.98323,                0.82711,                0.78846,                 0.8293,                0.52079,                 1.4072,                 1.0174,                 2.1857,             0.00021039,             0.00021039,             0.00021039
                     82,                0.29763,                0.31274,                0.98176,                0.79814,                0.79327,                0.80665,                0.51543,                 1.4078,                 1.0732,                 2.1934,              0.0002004,              0.0002004,              0.0002004
                     83,                0.30227,                0.30575,                0.97403,                0.82273,                0.77885,                0.82044,                0.50599,                 1.4336,                 1.0699,                 2.2525,              0.0001904,              0.0001904,              0.0001904
                     84,                0.29056,                0.32308,                0.97265,                0.82013,                0.77885,                0.81175,                0.50679,                 1.4076,                 1.0059,                 2.1991,             0.00018041,             0.00018041,             0.00018041
                     85,                0.29957,                0.31971,                0.98029,                 0.8133,                0.81677,                0.81667,                0.53518,                 1.3569,                0.97626,                 2.1237,             0.00017042,             0.00017042,             0.00017042
                     86,                0.30431,                0.31691,                0.97741,                0.86273,                0.76923,                0.81813,                0.53237,                 1.3571,                0.98257,                 2.1373,             0.00016042,             0.00016042,             0.00016042
                     87,                 0.3035,                0.30898,                0.98442,                0.83119,                0.78116,                0.82368,                0.52478,                 1.3785,                0.99665,                 2.1813,             0.00015043,             0.00015043,             0.00015043
                     88,                0.30752,                0.31895,                0.98177,                0.81825,                0.77404,                0.81096,                0.52181,                 1.3829,                 1.0157,                 2.1725,             0.00014043,             0.00014043,             0.00014043
                     89,                0.29793,                0.30942,                0.97612,                0.84032,                0.76923,                0.81204,                0.51183,                 1.3616,                  1.023,                 2.1426,             0.00013044,             0.00013044,             0.00013044
                     90,                0.29176,                0.32028,                0.97478,                0.82705,                0.78167,                0.80006,                0.51598,                 1.3702,                 1.0084,                 2.1591,             0.00012044,             0.00012044,             0.00012044
                     91,                0.23698,                0.26126,                0.94332,                0.82581,                0.79327,                0.78833,                0.48719,                 1.4566,                 1.0357,                 2.2805,             0.00011044,             0.00011044,             0.00011044
                     92,                0.21792,                0.22446,                0.91473,                0.80839,                0.78365,                0.78052,                0.48896,                 1.4434,                0.98012,                 2.2634,             0.00010045,             0.00010045,             0.00010045
                     93,                0.21029,                0.21381,                0.92509,                0.85115,                0.74519,                0.80221,                0.49216,                 1.4346,                0.93385,                  2.256,             9.0455e-05,             9.0455e-05,             9.0455e-05
                     94,                0.20543,                 0.2061,                0.92206,                0.83839,                0.79812,                0.82091,                 0.4968,                 1.4021,                0.98845,                 2.2119,              8.046e-05,              8.046e-05,              8.046e-05
                     95,                0.19913,                0.19568,                0.90545,                 0.8372,                0.78846,                0.81214,                0.50756,                 1.3799,                 1.0017,                 2.1836,             7.0465e-05,             7.0465e-05,             7.0465e-05
                     96,                0.19832,                0.19294,                0.91207,                0.84498,                0.77404,                0.80115,                0.51396,                 1.3669,                0.98285,                 2.1696,              6.047e-05,              6.047e-05,              6.047e-05
                     97,                0.20196,                0.19762,                0.90243,                0.85136,                0.74348,                0.79545,                0.51851,                 1.3777,                 1.0003,                 2.1716,             5.0475e-05,             5.0475e-05,             5.0475e-05
                     98,                0.19804,                0.18623,                0.91624,                0.81872,                0.76923,                0.80567,                 0.5181,                 1.3804,                 1.0242,                 2.1778,              4.048e-05,              4.048e-05,              4.048e-05
                     99,                0.18513,                0.19225,                0.90373,                0.84285,                0.75481,                0.79622,                0.51594,                 1.3833,                 1.0211,                 2.1818,             3.0485e-05,             3.0485e-05,             3.0485e-05
                    100,                0.18796,                0.18959,                0.88763,                 0.8646,                0.75481,                0.80436,                0.52426,                 1.3824,                 1.0111,                 2.1854,              2.049e-05,              2.049e-05,              2.049e-05
